# 自动扩字器数据：字|类型|部首|emoji|词组1,词组2,词组3
# 类型 p=象形 i=指事 c=会意 s=形声
# 食物饮品
饭|s|饣|🍚|吃饭,米饭,饭菜
菜|s|艹|🥬|青菜,白菜,饭菜
汤|s|氵|🍲|喝汤,汤勺,鸡汤
肉|p|肉|🥩|吃肉,牛肉,猪肉
蛋|s|虫|🥚|鸡蛋,鸭蛋,鸟蛋
面|s|面|🍜|面条,面包,面粉
茶|s|艹|🍵|喝茶,茶叶,茶园
糖|s|米|🍬|糖果,白糖,红糖
盐|s|卤|🧂|食盐,盐巴,咸盐
油|s|氵|🛢️|油条,香油,花生油
酒|s|氵|🍶|喝酒,白酒,红酒
奶|s|女|🍼|牛奶,奶粉,奶茶
豆|p|豆|🫘|黄豆,绿豆,豆腐
瓜|p|瓜|🍉|西瓜,南瓜,瓜果
桃|s|木|🍑|桃子,桃花,桃树
梨|s|木|🍐|梨子,鸭梨,梨树
橘|s|木|🍊|橘子,橘树,柑橘
苹|s|艹|🍎|苹果,苹果树,红苹果
蕉|s|艹|🍌|香蕉,芭蕉,香蕉船
饼|s|饣|🍪|饼干,月饼,烧饼
糕|s|米|🍰|蛋糕,年糕,糕点
蜜|s|虫|🍯|蜂蜜,甜蜜,采蜜
汁|s|氵|🥤|果汁,汁水,橙汁
# 动物
猪|s|犭|🐷|小猪,猪圈,猪肉
狗|s|犭|🐶|小狗,狗窝,热狗
蛇|p|虫|🐍|蛇,毒蛇,长蛇
龙|p|龙|🐉|龙,龙王,龙舟
猴|s|犭|🐵|猴子,猴山,小猴
鼠|p|鼠|🐭|老鼠,松鼠,米老鼠
鹿|p|鹿|🦌|小鹿,鹿角,梅花鹿
熊|s|灬|🐻|熊,熊猫,狗熊
狼|s|犭|🐺|狼,大灰狼,狼狗
狮|s|犭|🦁|狮子,狮王,雄狮
鸭|s|鸟|🦆|鸭子,鸭蛋,烤鸭
鹅|s|鸟|🦢|白鹅,天鹅,鹅毛
蜂|s|虫|🐝|蜜蜂,蜂窝,蜂蜜
蚁|s|虫|🐜|蚂蚁,白蚁,蚁穴
蛙|s|虫|🐸|青蛙,蛙鸣,牛蛙
龟|p|龟|🐢|乌龟,龟壳,海龟
虾|s|虫|🦐|小虾,虾米,龙虾
蟹|s|虫|🦀|螃蟹,蟹黄,海蟹
燕|p|燕|🐦|燕子,燕尾,飞燕
鸽|s|鸟|🕊️|鸽子,白鸽,信鸽
鹰|s|鸟|🦅|老鹰,雄鹰,鹰爪
蝶|s|虫|🦋|蝴蝶,蝶舞,粉蝶
蜻|s|虫|🪰|蜻蜓,蜻蜓点水,蜻蛉
蜓|s|虫|🪰|蜻蜓,蜓翼,蜓飞
鹤|s|鸟|🦤|仙鹤,白鹤,鹤立
豹|s|犭|🐆|豹子,猎豹,雪豹
狐|s|犭|🦊|狐狸,狐假虎威,狐臭
狸|s|犭|🦝|狐狸,狸猫,狸子
凤|p|几|🐓|凤凰,凤梨,龙凤
雁|s|厂|🦢|大雁,雁阵,归雁
