# 自动扩字器数据（二）：动词 / 形容词 / 虚词 / 数字时间
# 字|类型|部首|emoji|词组
# 动作动词
想|s|心|💭|想法,思想,想象
知|s|矢|🧠|知道,知识,知了
问|s|门|❓|问题,提问,问好
答|s|竹|✅|回答,答案,答谢
做|s|亻|🛠️|做工,做事,做菜
拿|s|手|✊|拿,拿走,拿手
放|s|攵|📤|放心,开放,放学
给|s|纟|🎁|给,送给,供给
送|s|辶|🎁|送,送别,接送
买|s|乛|🛒|买,买菜,买书
卖|s|十|🏪|卖,卖货,叫卖
找|s|扌|🔍|找,寻找,找钱
见|s|见|👀|看见,见面,意见
望|s|月|👀|盼望,愿望,望远镜
怕|s|忄|😨|害怕,可怕,不怕
喜|s|口|😊|喜欢,喜爱,喜庆
怒|s|心|😠|愤怒,怒火,发怒
思|s|心|🤔|思考,思念,思想
念|s|心|📿|想念,念书,念头
忘|s|心|🙈|忘记,难忘,忘我
记|s|讠|📝|记住,记性,笔记
感|s|心|💗|感谢,感情,感动
谢|s|讠|🙏|谢谢,谢绝,答谢
帮|s|巾|🤝|帮忙,帮助,帮手
助|s|力|💪|帮助,助手,互助
懂|s|忄|🧠|懂得,懂事,听懂
认|s|讠|👀|认识,认真,认字
识|s|讠|🧠|知识,识别,识字
醒|s|酉|⏰|醒来,清醒,提醒
睡|s|目|😴|睡觉,睡眠,安睡
梦|s|夕|🌙|做梦,梦想,梦乡
游|s|氵|🏊|游泳,游戏,游船
爬|s|爪|🧗|爬山,爬行,爬树
跳|s|足|🦘|跳,跳绳,跳舞
站|s|立|🚉|站,站立,车站
躺|s|身|🛌|躺,躺下,躺椅
蹲|s|足|🧎|蹲,蹲下,蹲守
靠|s|非|🤝|靠,靠近,依靠
抱|s|扌|🤗|抱,拥抱,抱抱
背|s|月|🎒|背,背包,背书
牵|s|牛|🐂|牵,牵手,牵牛
拉|s|扌|🤝|拉,拉手,拉车
推|s|扌|🤚|推,推开,推车
摇|s|扌|🌬️|摇,摇晃,摇头
举|s|丷|🙌|举,举手,举行
抬|s|扌|🤲|抬,抬头,抬手
打|s|扌|👊|打,打电话,打架
拍|s|扌|👏|拍,拍照,拍手
抓|s|扌|✊|抓,抓住,抓挠
握|s|扌|✊|握,握手,掌握
摸|s|扌|🖐️|摸,抚摸,触摸
招|s|扌|👋|招,招呼,招手
挥|s|扌|👋|挥,挥手,指挥
搭|s|扌|🤝|搭,搭建,搭车
扛|s|扌|🏋️|扛,扛着,扛枪
提|s|扌|👜|提,提问,提起
扔|s|扌|🗑️|扔,扔掉,扔球
丢|s|丿|🗑️|丢,丢失,丢掉
捡|s|扌|🔎|捡,捡起,捡到
拾|s|扌|🔎|拾,拾起,收拾
擦|s|扌|🧽|擦,擦干,擦桌子
扫|s|扌|🧹|扫,扫地,打扫
刷|s|刂|🪥|刷,刷牙,刷新
梳|s|木|🪮|梳,梳头,梳子
晒|s|日|☀️|晒,晒太阳,晒干
晾|s|日|👕|晾,晾衣,晾干
煮|s|灬|🍲|煮,煮饭,煮汤
炒|s|火|🍳|炒,炒菜,炒饭
煎|s|灬|🍳|煎,煎蛋,煎饼
炸|s|火|💥|炸,油炸,爆炸
烤|s|火|🔥|烤,烤火,烤箱
蒸|s|艹|🥘|蒸,蒸饭,蒸汽
钓|s|钅|🎣|钓,钓鱼,钓竿
捕|s|扌|🎣|捕,捕鱼,捕捉
猎|s|犭|🏹|猎,猎人,打猎
牧|s|牜|🐄|牧,牧羊,牧场
种|s|禾|🌱|种,种花,种子
收|s|攵|📥|收,丰收,收到
割|s|刂|🌾|割,割草,收割
采|s|爫|🍎|采,采摘,采茶
摘|s|扌|🍎|摘,摘花,摘果
选|s|辶|✅|选,选择,选手
择|s|扌|✅|择,选择,择菜
决|s|冫|✅|决,决定,决心
定|s|宀|✅|定,一定,决定
计|s|讠|🧮|计,计划,计算
算|s|竹|🧮|算,计算,算术
